Station_Name,Year,Month,Type,Wind_Speed,Direction
Bhola,2012,2,Maximum,3,320
Bhola,2012,3,Maximum,5,230
Bhola,2012,4,Maximum,7,180
Bhola,2012,5,Maximum,6,310
Bhola,2012,6,Maximum,5,210
Bhola,2012,7,Maximum,4,180
Bhola,2012,8,Maximum,4,180
Bhola,2012,9,Maximum,5,130
Bhola,2012,10,Maximum,8,180
Bhola,2012,11,Maximum,3,50
Bhola,2012,12,Maximum,3,310
Bhola,2013,1,Maximum,3,320
Bhola,2013,2,Maximum,4,340
Bhola,2013,3,Maximum,4,330
Bhola,2013,4,Maximum,5,180
Bhola,2013,5,Maximum,30,40
Bhola,2013,6,Maximum,20,90
Bhola,2013,7,Maximum,14,100
Bhola,2013,8,Maximum,16,100
Bhola,2013,9,Maximum,8,130
Bhola,2013,10,Maximum,8,90
Bhola,2013,11,Maximum,2,310
Bhola,2013,12,Maximum,3,280
Bhola,2014,1,Maximum,6,240
Bhola,2014,2,Maximum,12,290
Bhola,2014,3,Maximum,6,340
Bhola,2014,4,Maximum,16,340
Bhola,2014,5,Maximum,16,310
Bhola,2014,6,Maximum,6,190
Bhola,2014,7,Maximum,8,130
Bhola,2014,8,Maximum,10,110
Bhola,2014,9,Maximum,8,130
Bhola,2014,10,Maximum,3,150
Bhola,2014,11,Maximum,2,120
Bhola,2014,12,Maximum,1,310
Bhola,2015,1,Maximum,3,350
Bhola,2015,1,Minimum,1,310
Bhola,2015,2,Maximum,6,220
Bhola,2015,2,Minimum,1,310
Bhola,2015,3,Maximum,4,310
Bhola,2015,3,Minimum,1,310
Bhola,2015,4,Maximum,5,210
Bhola,2015,4,Minimum,1,130
Bhola,2015,5,Maximum,6,310
Bhola,2015,5,Minimum,1,120
Bhola,2015,6,Maximum,4,130
Bhola,2015,6,Minimum,1,110
Bhola,2015,7,Maximum,8,50
Bhola,2015,7,Minimum,1,20
Bhola,2015,8,Maximum,4,100
Bhola,2015,8,Minimum,1,210
Bhola,2015,9,Maximum,3,130
Bhola,2015,9,Minimum,1,150
Bhola,2015,10,Maximum,2,70
Bhola,2015,10,Minimum,1,140
Bhola,2015,11,Maximum,2,310
Bhola,2015,11,Minimum,1,30
Bhola,2015,12,Maximum,2,320
Bhola,2015,12,Minimum,1,230
Bhola,2016,1,Maximum,3,290
Bhola,2016,1,Minimum,1,310
Bhola,2016,2,Maximum,3,230
Bhola,2016,2,Minimum,1,310
Bhola,2016,3,Maximum,3,220
Bhola,2016,3,Minimum,1,230
Bhola,2016,4,Maximum,6,140
Bhola,2016,4,Minimum,1,170
Bhola,2016,5,Maximum,13,50
Bhola,2016,5,Minimum,1,130
Bhola,2016,6,Maximum,4,120
Bhola,2016,6,Minimum,1,130
Bhola,2016,7,Maximum,10,230
